patent_number,patent_date,patent_title,patent_abstract,assignee_organization,assignee_key_id
10166916,2019-01-01,Systems and methods for determining a vehicle is at an elevated risk for an animal collision,"Methods and systems for analyzing environment data to determine whether a vehicle operator is at an elevated risk for an animal collision are provided. According to certain aspects, an insurance provider may assess elevated risk according to various factors and, if it is determined that the vehicle operator is at an elevated risk for an animal collision, the insurance provider may generate a warning and wirelessly communicate the warning to the vehicle operator. The factors analyzed may include past accident, driver characteristic, weather, calendar, time of day, animal, seasonal, and/or other information. The vehicle operator may be notified of the risk and optionally presented with tips to mitigate the risk. The vehicle operator may be notified of the risk by a mobile device and/or the vehicle, such as from a vehicle communication and control system. Animal collision avoidance functionality may be used to adjust insurance premiums, rates, or rewards.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10166994,2019-01-01,Autonomous vehicle operating status assessment,"Methods and systems for monitoring use, determining risk, and pricing insurance policies for a vehicle having one or more autonomous or semi-autonomous operation features are provided. According to certain aspects, a computer-implemented method for real-time determination of the status of autonomous operation features of an autonomous or semi-autonomous vehicle may be provided. With the customer's permission, the operation of the autonomous or semi-autonomous vehicle may be monitored to obtain operating data from one or more autonomous operation features. An operating status of the autonomous features may be determined based upon the operating data. After which, a change in the operating status of the autonomous features may be identified, and a report containing information regarding the change in the operating status of the autonomous features may be generated. Insurance discounts may be provided to risk averse customers that maintain their autonomous vehicles, and associated accident avoidance functionality, in good working condition.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10168703,2019-01-01,Autonomous vehicle component malfunction impact assessment,"Methods and systems for assessing, detecting, and responding to malfunctions involving components of autonomous vehicles and/or smart homes are described herein. A risk of malfunction and/or cyber-attack may be determined by collecting operating data from a plurality of autonomous vehicles and/or smart homes. The operating data may be analyzed to identify occurrences of a component malfunctioning. For each component, a risk associated with malfunctioning and/or cyber-attack may be determined based upon the identified occurrences. Based on the risks, at least one result associated with the malfunction and/or cyber-attack may be determined. A component profile may be generated based upon the determined risk and/or the impact of the determined results.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10169823,2019-01-01,Systems and methods for impact resistant and photovoltaic windows,"An impact-resistant, photovoltaic (IRPV) window system is provided. The system may include an IRPV window coupled to a structure, a controller, and an insurance computing device. The IRPV window may include an impact resistant (IR) layer, a photovoltaic (PV) layer that may generate an electrical output, and an electrode coupled to the PV layer that may receive the electrical output. The IRPV window may permit a portion of visible light to pass through the IRPV window. The controller may monitor the electrical output and generate a solar profile of the structure based upon the electrical output. The insurance computing device may receive the solar profile and determine if an insurance policy associated with the structure is eligible for a policy adjustment and/or an insurance reward or discount offer.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10173773,2019-01-08,Systems and methods for operating drones in response to an incident,"A response system may be provided. The response system may include a security system and an autonomous drone. The security system includes a security sensor and a controller. The drone includes a processor, a memory in communication with the processor, and a drone sensor. The processor may be programmed to link the drone to the controller, build a virtual navigation map of the coverage area based, at least in part, upon initial sensor data stored by the drone, determine that the coverage area is unoccupied, deploy the drone from a docking station, control movement of the drone within the coverage area based upon the virtual navigation map, collect drone sensor data of the coverage area using the drone sensor, and/or analyze the collected drone sensor data to identify an abnormal condition within the coverage area, the abnormal condition including at least one of damage or theft occurring within the coverage area.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10176303,2019-01-08,"Efficient management, control, and evaluation of captured digital media","A computer-implemented method for generating digital media tasks, authorizing digital media associated with the digital media tasks, and evaluating the digital media is provided. In an embodiment, a server computer creates a digital media task and sends it to one or more mobile computing devices. When the server receives digital media from a mobile computing device, the server computer determines whether it is authorized to provide other computing devices with access to the digital media. Determining whether the server computer is authorized to provide other computing devices with access to the digital media may comprise determining whether the server computer has current waivers for the digital media or whether supervisory computing device has provided authorization.","Linx Systems, Inc.",185947
10176527,2019-01-08,Providing shade for optical detection of structural features,"A shading system creates a shaded region on a structure, enabling 3D scanning techniques that rely on light detection to generate a 3D model. The shading system includes a vehicle or device that moves the shading system into place. A light, such as a laser dot or line, can be projected onto the shaded region of the structure and detected by a 3D scanner.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10176530,2019-01-08,System and method for determining and monitoring auto insurance incentives,"A computer system or computer-implemented method may provide incentives to an insured customer for receiving sensor data indicating risk-reducing and risk-increasing behavior during the policy term. In-vehicle sensors or other devices may gather information about the vehicle and its use during the policy term and send the information to a back-end system for analysis. Based on this analysis, the back-end system may determine that the received information is indicative of risk-reducing or increasing behavior. Upon confirmation that the information indicates risk-reducing or increasing behavior, the back-end system may perform one or more actions defined by a set of rules to establish an incentive or disincentive for the customer corresponding to the behavior. For example, the system may modify the customer's insurance policy data, send an e-mail, letter, gift card, coupon, points, or other incentive or disincentive for the customer based on the analysis.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10176632,2019-01-08,Methods and systems for capturing the condition of a physical structure via chemical detection,"In a computer-implemented method and system for capturing the condition of a structure, the structure is scanned with a three-dimensional (3D) scanner. The 3D scanner generates 3D data. A point cloud or 3D model is constructed from the 3D data. The point cloud or 3D model is then analyzed to determine the condition of the structure.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
10178038,2019-01-08,System and computer-implemented method for dynamically changing network port speed of fiber channel initiator,"A system and method for improving the functioning of a data storage array by allowing for dynamically changing a speed of a communications port receiving data from a server via a fiber channel network managed by a network switch. The switch is queried to determine which server is sending data to each port, and to determine the speed and flow rate of the data through each port. The port experiencing the highest speed of data is identified, and if the cache write pending is above a threshold or if the array is otherwise unable to save the data at the speed at which it is being received, then the switch is set to limit the speed through that port, thereby avoiding a backup of data which could cause the port to be taken offline. A record of the change and an alert that the change was made are then generated.",STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,280516
